Wood,Oven,Phase,IO_02L_Avg,UO_02_Avg,AO_02_Avg,IO_04R_Avg,FB_01_Avg,IO_01T_Avg,SA_01_Avg,P_01_Avg,AO_01_Avg,Roofline,Chimney,T_eff_Pot_1(%),T_eff_Pot_2(%)
M,NO,Low,159.4,132.5,127,145.8,443,161.8,171.6,172.3,173.1,56.86,88,3.6648340573968596,1.8324170286984298
M,NO,Low,159,132.3,126.7,145.5,441.5,161.4,170.9,171.6,172.7,56.72,87.8,-2.7610403112968,0.9203467704320487
M,NO,Low,158.7,132.1,126.3,145.2,440,161,170.3,171,172.2,56.58,87.6,11.09628968802002,1.8493816146702222
M,NO,Low,158.3,131.9,126,144.9,438.5,160.6,169.6,170.5,171.7,56.44,87.3,10.221725344757598,5.575486551686202
M,NO,Low,157.9,131.7,125.7,144.6,437,160.1,169,169.9,171.1,56.31,87.1,9.340249201084754,6.538174440758797
M,NO,Low,157.6,131.4,125.3,144.3,435.5,159.7,168.4,169.4,170.6,56.19,86.9,12.207387066699408,9.390297743614724
M,NO,Low,157.2,131.2,125,144,434,159.3,167.7,168.9,170.1,56.04,86.7,1.8885400331170417,14.164050248381166
M,NO,Low,156.8,131,124.6,143.7,432.5,158.9,167.1,168.3,169.5,55.9,86.5,5.698521492586616,8.54778223887925
M,NO,Low,156.5,130.8,124.3,143.4,431,158.5,166.5,167.7,169.1,55.77,86.3,14.332330138891589,10.510375435186713
M,NO,Low,156.1,130.6,124,143.1,429.4,158.1,165.9,167.2,168.7,55.63,86.1,9.614838037894465,6.730386626526536
M,NO,Low,155.7,130.3,123.6,142.8,427.9,157.7,165.2,166.7,168.4,55.49,85.9,12.580721472833822,5.806486833616034
M,NO,Low,155.3,130.1,123.3,142.5,426.4,157.3,164.6,166.3,168,55.33,85.7,2.922869673263242,4.871449455438275
M,NO,Low,155,129.9,123,142.2,424.9,156.9,164,166,167.6,55.17,85.5,-1.962239355873252,4.905598389684525
M,NO,Low,154.6,129.7,122.6,141.9,423.4,156.5,163.4,165.6,167.1,55.03,85.3,6.917730628985158,5.929483396273093
M,NO,Low,154.2,129.4,122.3,141.6,421.8,156.1,162.8,165.2,166.6,54.88,85.1,8.961148033087287,4.978415573937618
M,NO,Low,153.9,129.2,122,141.3,420.3,155.8,162.2,164.8,166.1,54.73,84.9,3.0103152707483427,3.0103152707483427
M,NO,Low,153.5,129,121.7,141,418.7,155.4,161.6,164.2,165.6,54.59,84.7,2.0230496989861315,1.0115248494930658
M,NO,Low,153.1,128.8,121.3,140.7,417.2,155,161,163.6,165,54.45,84.5,10.199547288531816,7.139683101971691
M,NO,Low,152.8,128.5,121,140.4,415.7,154.6,160.4,163,164.4,54.32,84.3,11.316152136830485,14.402375446875295
M,NO,Low,152.4,128.3,120.7,140.1,414.1,154.2,159.8,162.5,164.1,54.19,84.1,16.606364550800638,12.454773413100478
M,NO,Low,152.1,128.1,120.4,139.8,412.6,153.8,159.2,162,163.7,54.07,83.9,7.332075962069527,11.521833654679412
